simplified_chinese,traditional_chinese,pinyin,english_meaning,part_of_speech,hsk_level,example_sentence_chinese,example_sentence_pinyin,example_sentence_english
月亮,月亮,yuè liàng,mặt trăng,N,2,今天晚上的月亮很圆。,Jīntiān wǎnshang de yuèliàng hěn yuán.,Trăng tối nay rất tròn.
云,"云,雲",yún,cloud/CL:朵[duo3],N,2,天上的云很美。,Tiānshàng de yún hěn měi.,Mây trên trời rất đẹp.
运动,運動,yùn dòng,di chuyển/tập thể dục/thể thao/bài tập/chuyển động/phong trào/chiến dịch/CL:場|场[chang3],V/N,2,我每天都运动。,Wǒ měitiān dōu yùndòng.,Tôi tập thể dục mỗi ngày.
咱们,咱們,zán men,chúng tôi hoặc chúng ta (bao gồm cả người nói và người(những người) được nói chuyện)/(phương ngữ) Tôi hoặc tôi/(phương ngữ) (theo cách dụ dỗ hoặc quen thuộc) bạn/cũng pr. [za2 men5],Pron,2,咱们一起去吧。,Zánmen yīqǐ qù ba.,Chúng ta cùng đi nhé.
咱,"咱,偺,喒",zán,biến thể của 咱[zan2],Pron,2,,,
脏,"髒,臟",zàng,bẩn/dơ bẩn/làm (cái gì) bẩn,Adj,2,这件衣服很脏。,Zhè jiàn yīfú hěn zāng.,Bộ quần áo này rất bẩn.
早餐,早餐,zǎo cān,"bữa sáng/CL:份[fen4],頓|顿[dun4],次[ci4]",N,2,,,
早晨,早晨,zǎo chén,sáng sớm/CL:個|个[ge4]/also pr. [zao3 chen5],N,2,,,
早就,早就,zǎo jiù,đã ở thời điểm sớm hơn,,2,,,
怎么办,怎麼辦,zěn me bàn,những gì cần phải được thực hiện,,2,,,
怎么样,怎麼樣,zěn me yàng,thế nào?/thế còn?/nó thế nào?/mọi thứ thế nào?,Pron,2,你的工作怎么样？,Nǐ de gōngzuò zěnmeyàng?,Công việc của bạn thế nào?
怎样,怎樣,zěn yàng,như thế nào/loại gì,Pron,2,,,
站,站,zhàn,trạm/đứng/dừng lại/dừng lại/chi nhánh của một công ty hoặc tổ chức/trang web,N,2,请站在这儿。,Qǐng zhàn zài zhèr.,Xin hãy đứng ở đây.
占,"占,佔",zhàn,chiếm hữu/chiếm đóng/tiếp quản,V,2,这个地区占据了很大的面积。,Zhège dìqū zhànjùle hěn dà de miànjī.,Khu vực này chiếm một diện tích rất lớn.
站住,站住,zhàn zhù,đứng,,2,,,
长,長,zhǎng,người đứng đầu/người đứng đầu/người lớn tuổi/để phát triển/để tăng lên/để nâng cao,Adj,2,她的头发很长。,Tā de tóufǎ hěn cháng.,Tóc của cô ấy rất dài.
长,長,zhǎng,người đứng đầu/người đứng đầu/người lớn tuổi/để phát triển/để tăng lên/để nâng cao,Adj,2,她的头发很长。,Tā de tóufǎ hěn cháng.,Tóc của cô ấy rất dài.
长大,長大,zhǎng dà,lớn lên,,2,,,
照顾,照顧,zhào gù,chăm sóc/thể hiện sự quan tâm/chăm sóc/chăm sóc,V,2,我会照顾你。,Wǒ huì zhàogù nǐ.,Tôi sẽ chăm sóc bạn.
找出,找出,zhǎo chū,tìm thấy/tìm kiếm,,2,,,
照片,照片,zhào piān,"ảnh/hình/CL:張|张[zhang1],套[tao4],幅[fu2]",N,2,这张照片很好看。,Zhè zhāng zhàopiàn hěn hǎokàn.,Bức ảnh này rất đẹp.
照相,照相,zhào xiàng,chụp ảnh,,2,,,
这么,這麼,zhè me,nhiều thế/nhiều thế này/bao nhiêu?/theo cách này/như thế này,Pron,2,,,
这样,這樣,zhè yàng,loại này/vậy/theo cách này/như thế này/như thế này,Pron,2,,,
这时候,這時候,zhè shí hòu,vào lúc này,,2,,,
真正,真正,zhēn zhèng,chính hãng; thật; đúng/thật; quả thực,Adj,2,他是一个真正的朋友。,Tā shì yīgè zhēnzhèng de péngyǒu.,Anh ấy là một người bạn thực sự.
正常,正常,zhèng cháng,thường lệ/bình thường/bình thường,Adj,2,一切都很正常。,Yīqiè dōu hěn zhèngcháng.,Mọi thứ đều rất bình thường.
正好,正好,zhèng hǎo,vừa (đúng lúc)/vừa đúng lúc/vừa đủ/để xảy ra/tình cờ/tình cờ/nó chỉ xảy ra như vậy,Adj/Adv,2,你来得正好。,Nǐ lái de zhènghǎo.,Bạn đến vừa đúng lúc.
正确,正確,zhèng què,đúng; đúng; đúng đắn; thích hợp,Adj,2,你的答案是正确的。,Nǐ de dá'àn shì zhèngquè de.,Câu trả lời của bạn là chính xác.
正是,正是,zhèng shì,chính xác là,V,2,,,
纸,"紙,帋",zhǐ,"giấy/CL:張|张[zhang1],沓[da2]/bộ phân loại tài liệu, thư từ, v.v.",N,2,,,
直接,直接,zhí jiē,trực tiếp (ngược lại: gián tiếp 間接|间接[jian4 jie1])/ngay lập tức/đơn giản,Adj,2,请直接告诉我结果。,Qǐng zhíjiē gàosù wǒ jiéguǒ.,Vui lòng nói trực tiếp với tôi kết quả.
只能,只能,zhǐ néng,chỉ có thể/bắt buộc phải làm điều gì đó/không có lựa chọn nào khác,,2,,,
只要,只要,zhǐ yào,nếu chỉ/miễn là,Conj,2,只要努力，就会成功。,"Zhǐyào nǔlì, jiù huì chénggōng.","Chỉ cần cố gắng, sẽ thành công."
只,"隻,秖,只,祇,衹",zhǐ,"bộ phân loại cho chim và một số loài động vật, một trong một cặp, một số đồ dùng, bình đựng, v.v.",Adv,2,我只吃了一点儿。,Wǒ zhǐ chī le yīdiǎnr.,Tôi chỉ ăn một chút.
中餐,中餐,zhōng cān,"bữa trưa/bữa ăn Trung Quốc; Món ăn Trung Quốc/CL:份[fen4],頓|顿[dun4]",N,2,,,
重点,重點,zhòng diǎn,"điểm quan trọng; điểm chính; trọng tâm/chìa khóa (dự án, v.v.)/tập trung vào; nhấn mạnh vào",N/Adv,2,这个问题是重点。,Zhège wèntí shì zhòngdiǎn.,Vấn đề này là trọng điểm.
中级,中級,zhōng jí,cấp trung gian (trong một hệ thống phân cấp),Adj,2,,,
重视,重視,zhòng shì,coi trọng cái gì đó; coi trọng,V,2,他很重视健康。,Tā hěn zhòngshì jiànkāng.,Anh ấy rất coi trọng sức khỏe.
中年,中年,zhōng nián,tuổi trung niên,N,2,,,
中小学,中小學,zhōng xiǎo xué,trường trung học cơ sở và tiểu học,,2,,,
中心,中心,zhōng xīn,trung tâm; trái tim; lõi,N,2,这个中心的服务很到位。,Zhège zhōngxīn de fúwù hěn dào wèi.,Dịch vụ của trung tâm này rất tốt.
中医,中醫,zhōng yī,khoa học y học cổ truyền Trung Quốc/bác sĩ được đào tạo về y học Trung Quốc,N,2,,,
周,"周,週",zhōu,tuần/hàng tuần/biến thể của 周[zhou1],M,2,,,
周末,週末,zhōu mò,ngày cuối tuần,N,2,周末我去公园玩。,Zhōumò wǒ qù gōngyuán wán.,Cuối tuần tôi đi công viên chơi.
周年,週年,zhōu nián,kỷ niệm/hàng năm,N,2,公司庆祝成立十周年。,Gōngsī qìngzhù chénglì shí zhōunián.,Công ty kỷ niệm mười năm thành lập.
住房,住房,zhù fáng,nhà ở,N,2,,,
主要,主要,zhǔ yào,chính/chủ yếu/chuyên ngành/chính,Adj,2,主要问题是时间不够。,Zhǔyào wèntí shì shíjiān bù gòu.,Vấn đề chính là không đủ thời gian.
住院,住院,zhù yuàn,đang ở trong bệnh viện/nhập viện,,2,,,
主人,主人,zhǔ rén,chủ/máy chủ/chủ sở hữu/CL:個|个[ge4],N,2,这位先生是我们的主人。,Zhè wèi xiānshēng shì wǒmen de zhǔrén.,Người đàn ông này là chủ của chúng tôi.
装,裝,zhuāng,trang trí/trang điểm/mặc/quần áo/trang phục (của một diễn viên trong vở kịch)/đóng vai/giả vờ/lắp đặt/sửa chữa/gói (cái gì đó vào túi)/tải/đóng gói,V,2,她正在装行李。,Tā zhèngzài zhuāng xínglǐ.,Cô ấy đang đóng gói hành lý.
准确,準確,zhǔn què,chính xác; chính xác; rõ ràng,Adj,2,他的答案非常准确。,Tā de dá'àn fēicháng zhǔnquè.,Câu trả lời của anh ấy rất chính xác.
字典,字典,zì diǎn,"Từ điển chữ Hán (có mục nhập cho các ký tự đơn, tương phản với 詞典|词典[ci2 dian3], có mục nhập cho các từ có một hoặc nhiều ký tự)/(coll.) từ điển/CL:本[ben3]",N,2,我需要一本字典。,Wǒ xūyào yī běn zìdiǎn.,Tôi cần một quyển từ điển.
自己,自己,zì jǐ,bản thân/của riêng mình,Pron,2,这是我自己的问题。,Zhè shì wǒ zìjǐ de wèntí.,Đây là vấn đề của chính tôi.
自行车,自行車,zì xíng chē,xe đạp; xe đạp/CL:輛|辆[liang4],N,2,他骑自行车去上班。,Tā qí zìxíngchē qù shàngbān.,Anh ấy đi làm bằng xe đạp.
自由,自由,zì yóu,tự do; tự do/tự do; không bị hạn chế/CL:種|种[zhong3],N/Adj,2,在这个国家，人们享有自由。,"Zài zhège guójiā, rénmen xiǎngyǒu zìyóu.","Ở quốc gia này, người dân có quyền tự do."
走过,走過,zǒu guò,đi ngang qua/đi ngang qua,,2,,,
走进,走進,zǒu jìn,để vào,,2,,,
走开,走開,zǒu kāi,rời đi/bỏ đi/đánh bại nó/di chuyển sang một bên,,2,,,
组,組,zǔ,"hình thành/tổ chức/nhóm/đội/phân loại cho các bộ, loạt, nhóm người, pin",V/N,2,我们组成了一个团队。,Wǒmen zǔchéngle yī gè tuánduì.,Chúng tôi đã thành lập một đội.
组成,組成,zǔ chéng,hình thành/tạo nên/tạo thành,V,2,这两个部分组成了一个整体。,Zhè liǎng gè bùfen zǔchéngle yīgè zhěngtǐ.,Hai phần này tạo thành một tổng thể.
租,租,zū,thuê/thuê/cho thuê lại/cho thuê lại/cho thuê lại/thuế đất,V,2,我租了一辆车。,Wǒ zū le yī liàng chē.,Tôi đã thuê một chiếc xe.
组长,組長,zǔ zhǎng,trưởng nhóm,N,2,,,
嘴,嘴,zuǐ,"miệng/mỏ/vòi/vòi (của ấm trà, v.v.)/CL:張|张[zhang1],個|个[ge4]",N,2,,,
最近,最近,zuì jìn,gần đây/sớm/gần nhất,N,2,最近我很忙。,Zuìjìn wǒ hěn máng.,Gần đây tôi rất bận.
座,座,zuò,"hậu tố ghế/bệ/chân đế/(cổ) được sử dụng trong hình thức xưng hô tôn trọng, ví dụ: 师座|师座[shi1 zuo4]/CL:個|个[ge4]/phân loại cho các tòa nhà, núi và các vật thể bất động tương tự",M,2,这座城市很大。,Zhè zuò chéngshì hěn dà.,Thành phố này rất lớn.
做到,做到,zuò dào,để hoàn thành/để đạt được,,2,,,
做法,做法,zuò fǎ,cách xử lý cái gì/phương pháp làm/phương pháp làm việc/công thức/thực hành/CL:個|个[ge4],N,2,,,
做饭,做飯,zuò fàn,chuẩn bị một bữa ăn/nấu ăn,,2,,,
作家,作家,zuò jiā,"tác giả/CL:個|个[ge4],位[wei4]",N,2,他是一位著名的作家。,Tā shì yī wèi zhùmíng de zuòjiā.,Anh ấy là một nhà văn nổi tiếng.
座位,座位,zuò wèi,ghế/CL:個|个[ge4],N,2,请找你的座位。,Qǐng zhǎo nǐ de zuòwèi.,Vui lòng tìm chỗ ngồi của bạn.
作文,作文,zuò wén,viết một bài luận/bài luận (bài luận của sinh viên)/CL:篇[pian1],N,2,我们需要写一篇作文。,Wǒmen xūyào xiě yī piān zuòwén.,Chúng ta cần viết một bài văn.
作业,作業,zuò yè,bài tập về nhà/bài tập về nhà/công việc/nhiệm vụ/hoạt động/CL:個|个[ge4]/hoạt động,N,2,我已经做完作业了。,Wǒ yǐjīng zuò wán zuòyè le.,Tôi đã làm xong bài tập.
作用,作用,zuò yòng,"tác động vào; ảnh hưởng/hành động; chức năng; hoạt động/tác động; kết quả; hiệu ứng/mục đích; ý định/(hậu tố) -ation, -tion v.v., như trong 抑制作用[yi4 zhi4 zuo4 yong4], sự ức chế",N,2,这个词的作用是什么？,Zhège cí de zuòyòng shì shénme?,Tác dụng của từ này là gì?
爱心,愛心,ài xīn,"lòng trắc ẩn/lòng tốt/quan tâm đến người khác/tình yêu/CL:片[pian4]/từ thiện (chợ, ngày chơi golf, v.v.)/trái tim (biểu tượng ♥)",N,3,她有一颗善良的爱心。,Tā yǒu yī kē shànliáng de àixīn.,Cô ấy có một tấm lòng yêu thương.
按,按,àn,nhấn/đẩy/bỏ sang một bên hoặc gác lại/kiểm soát/kiềm chế/giữ tay trên/kiểm tra hoặc tham khảo/theo/dưới góc nhìn của/(một biên tập viên hoặc tác giả) để đưa ra bình luận,V/Prep,3,,,
安排,安排,ān pái,sắp xếp/lên kế hoạch/thiết lập/sắp xếp/kế hoạch,V/N,3,我已经安排好了行程。,Wǒ yǐjīng ānpái hǎo le xíngchéng.,Tôi đã sắp xếp xong hành trình.
按照,按照,àn zhào,theo/phù hợp với/dựa trên/trên cơ sở của,Prep,3,请按照说明操作。,Qǐng ànzhào shuōmíng cāozuò.,Vui lòng làm theo hướng dẫn.
安装,安裝,ān zhuāng,lắp đặt/dựng/sửa chữa/lắp đặt,V,3,我们正在安装新软件。,Wǒmen zhèngzài ānzhuāng xīn ruǎnjiàn.,Chúng tôi đang lắp đặt phần mềm mới.
把,把,bǎ,xử lý,Prep,3,把书给我。,Bǎ shū gěi wǒ.,Đưa cuốn sách cho tôi.
把,把,bǎ,xử lý,Prep,3,把书给我。,Bǎ shū gěi wǒ.,Đưa cuốn sách cho tôi.
把握,把握,bǎ wò,nắm bắt (cũng như hình)/nắm bắt/giữ/bảo đảm/chắc chắn/chắc chắn (về kết quả),V/N,3,我们要把握机会。,Wǒmen yào bǎwò jīhuì.,Chúng ta phải nắm bắt cơ hội.
白,白,bái,trắng/tuyết/trong trẻo/sáng/trống rỗng/trống trơn/trong trẻo/làm rõ ràng/vô ích/miễn phí/miễn phí/phản động/chống cộng/tang lễ/nhìn chằm chằm lạnh lùng/viết sai ký tự/tuyên bố/giải thích/tiếng địa phương/lời thoại trong opera,Adj,3,他的白色衬衫很漂亮。,Tā de báisè chènshān hěn piàoliang.,Áo sơ mi trắng của anh ấy rất đẹp.
白菜,白菜,bái cài,"Bắp cải/pak choi/CL:棵[ke1], 個|个[ge4]",N,3,,,
板,"板,闆",bǎn,bắt gặp ở ngưỡng cửa (cũ),N,3,,,
班级,班級,bān jí,lớp (nhóm học sinh)/lớp (trong trường),N,3,,,
搬家,搬家,bān jiā,chuyển nhà; di dời/loại bỏ (cái gì),,3,,,
办理,辦理,bàn lǐ,xử lý; giao dịch; tiến hành,V,3,我需要办理签证。,Wǒ xūyào bànlǐ qiānzhèng.,Tôi cần xử lý visa.
搬,搬,bān,di chuyển (tức là tự di chuyển)/di chuyển (cái gì đó tương đối nặng hoặc cồng kềnh)/chuyển dịch/sao chép bừa bãi,V,3,他搬家到北京了。,Tā bānjiā dào Běijīng le.,Anh ấy đã chuyển nhà đến Bắc Kinh.
报,報,bào,"thông báo/báo cáo/báo/bồi thường/trả thù/CL:份[fen4],張|张[zhang1]",N,3,,,
保,保,bǎo,bảo vệ; bảo vệ; giữ gìn/bảo đảm; đảm bảo/đơn vị hành chính dân sự trong hệ thống baojia 保甲[bao3 jia3] (cũ),V,3,,,
保安,保安,bǎo ān,đảm bảo an ninh công cộng/đảm bảo an toàn (cho công nhân tham gia sản xuất)/an ninh công cộng/bảo vệ,N,3,,,
保持,保持,bǎo chí,giữ/duy trì/giữ/bảo tồn,V,3,请保持安静。,Qǐng bǎochí ānjìng.,Xin hãy giữ yên lặng.
保存,保存,bǎo cún,"bảo tồn/bảo quản/giữ/lưu (một tập tin, v.v.) (máy tính)",V,3,,,
报到,報到,bào dào,báo cáo nhiệm vụ/kiểm tra/đăng ký,,3,新员工需要先报到。,Xīn yuángōng xūyào xiān bàodào.,Nhân viên mới cần đăng ký trước.
报道,報道,bào dào,"to report (tin tức)/báo cáo/CL:篇[pian1],份[fen4]",V/N,3,新闻报道说...,Xīnwén bàodào shuō...,Tin tức nói rằng...
报告,報告,bào gào,"thông báo/báo cáo/cho biết/báo cáo/bài phát biểu/thảo luận/bài giảng/CL:篇[pian1],份[fen4],個|个[ge4],通[tong4]",V/N,3,他在会议上做了一个报告。,Tā zài huìyì shàng zuò le yīgè bàogào.,Anh ấy đã trình bày một báo cáo trong cuộc họp.
保护,保護,bǎo hù,bảo vệ/bảo vệ/bảo vệ/bảo vệ/CL:種|种[zhong3],V,3,我们要保护环境。,Wǒmen yào bǎohù huánjìng.,Chúng ta cần bảo vệ môi trường.
保留,保留,bǎo liú,giữ lại/giữ lại/có sự dè dặt (về điều gì đó)/kiềm chế (không nói điều gì đó)/để dành cho sau,V,3,我们应该保留传统文化。,Wǒmen yīnggāi bǎoliú chuántǒng wénhuà.,Chúng ta nên giữ lại văn hóa truyền thống.
保险,保險,bǎo xiǎn,bảo hiểm/bảo hiểm/an toàn/bảo đảm/chắc chắn/bị ràng buộc với/CL:份[fen4],Adj/N,3,你有健康保险吗？,Nǐ yǒu jiànkāng bǎoxiǎn ma?,Bạn có bảo hiểm sức khỏe không?
保证,保證,bǎo zhèng,bảo lãnh/bảo đảm/đảm bảo/bảo vệ/cam kết/CL:個|个[ge4],V/N,3,我保证完成任务。,Wǒ bǎozhèng wánchéng rènwù.,Tôi cam đoan hoàn thành nhiệm vụ.
背,"背,揹",bèi,mặt sau của một cơ thể hoặc vật thể/quay lưng lại/giấu điều gì đó khỏi/học thuộc lòng/đọc thuộc lòng/xui xẻo (tiếng lóng)/khó nghe,V,3,他背着一个大包。,Tā bēizhe yīgè dà bāo.,Anh ấy mang theo một cái túi lớn.
背,"背,揹",bèi,mặt sau của một cơ thể hoặc vật thể/quay lưng lại/giấu điều gì đó khỏi/học thuộc lòng/đọc thuộc lòng/xui xẻo (tiếng lóng)/khó nghe,V,3,他背着一个大包。,Tā bēizhe yīgè dà bāo.,Anh ấy mang theo một cái túi lớn.
被,被,bèi,"chăn/để phủ (bằng)/(văn học) chịu (một bất hạnh)/được dùng để chỉ ngôi bị động (được đặt trước người thực hiện hành động như ""bởi"" trong các câu bị động tiếng Anh, hoặc, nếu người thực hiện không được đề cập, trước động từ)/(từ khoảng năm 2009) (mỉa mai hoặc đùa cợt) được dùng để chỉ rằng từ sau nên được coi là nằm trong dấu ngoặc kép (như trong 被旅遊|被旅游[bei4 lu:3 you2] để ""đi du lịch"", chẳng hạn)",Prep,3,他被老师表扬了。,Tā bèi lǎoshī biǎoyáng le.,Anh ấy được thầy giáo khen ngợi.
北部,北部,běi bù,phần phía bắc,N,3,,,
背后,背後,bèi hòu,phía sau/ở phía sau/ở phía sau/sau lưng ai đó,N,3,,,
被子,被子,bèi zi,quilt/CL:床[chuang2],N,3,天冷了，要盖好被子。,"Tiān lěng le, yào gài hǎo bèizi.","Trời lạnh rồi, phải đắp chăn kỹ."
本来,本來,běn lái,bản gốc/ban đầu/lúc đầu/điều đó không cần phải nói/tất nhiên,Adj/Adv,3,本来我不想去的。,Běnlái wǒ bù xiǎng qù de.,Ban đầu tôi không muốn đi.
本领,本領,běn lǐng,"kỹ năng/khả năng/khả năng/CL:項|项[xiang4],個|个[ge4]",N,3,他有很多本领。,Tā yǒu hěnduō běnlǐng.,Anh ấy có nhiều kỹ năng.
本事,本事,běn shì,khả năng/kỹ năng,N,3,他有很多做事的本事。,tā yǒu hěn duō zuòshì de běnshì.,Anh ấy có nhiều tài năng để làm việc.
比较,比較,bǐ jiào,so sánh/đối chiếu/tương đối/tương đối/khá/so sánh,Adv/V,3,她比较高。,Tā bǐjiào gāo.,Cô ấy khá cao.
比例,比例,bǐ lì,tỷ lệ/tỷ lệ,N,3,图中的比例很重要。,Tú zhōng de bǐlì hěn zhòngyào.,Tỷ lệ trong hình rất quan trọng.
比赛,比賽,bǐ sài,"cuộc thi (thể thao, v.v.)/trận đấu/CL:場|场[chang3],次[ci4]/thi đấu",V/N,3,他们在参加比赛。,Tāmen zài cānjiā bǐsài.,Họ đang tham gia thi đấu.
必然,必然,bì rán,không thể tránh khỏi/chắc chắn/cần thiết,Adj,3,这是一个必然的结果。,Zhè shì yīgè bìrán de jiéguǒ.,Đây là một kết quả tất nhiên.
必要,必要,bì yào,cần thiết/thiết yếu/không thể thiếu/bắt buộc,Adj/N,3,这是一个必要的步骤。,Zhè shì yīgè bìyào de bùzhòu.,Đây là một bước cần thiết.
