simplified_chinese,traditional_chinese,pinyin_latin,pinyin_zhuyin,pinyin_vietnamese,level,vietnamese_meaning,chinese_explanation,example_sentence_chinese,example_sentence_pinyin,example_sentence_vietnamese,grammar_pattern,related_compounds,radical_info,stroke_count,stroke_order,popularity
最后,最後,zuìhòu,ㄗㄨㄟˋㄏㄡˋ,tối hậu,,cuối cùng; sau cùng,指顺序上排在其他时间、处所等之后的时间、处所等【指順序上排在其他時間、處所等之後的時間、處所等】,我们最后决定去海边。【我們最後決定去海邊。】,wǒmen zuìhòu juédìng qù hǎibiān.,Cuối cùng chúng tôi quyết định đi biển.,最后 + 的 + Danh từ,最后一天【最後一天】TỐI HẬU NHẤT THIÊN; 最后期限【最後期限】TỐI HẬU KỲ HẠN; 最后通牒【最後通牒】TỐI HẬU THÔNG ĐIỆP; 最后晚餐【最後晚餐】TỐI HẬU VÃN XAN; 首先THỦ TIÊN,QUYNH 冂Số nét: 12,12,丨フ一一一丨丨一一一フ丶,
做,製造,zuò,ㄗㄨㄛˋ,tố,,chế tạo; viết; sáng tác; làm; làm việc; thực hiện; làm; tổ chức; chúc mừng; đảm nhiệm; trở thành; làm; dùng làm; sử dụng làm; trở thành; kết thành; tạo thành (quan hệ); giả vờ; giả trang,制造【製造】,他在工厂做家具。【他在工廠做傢具。】,tā zài gōngchǎng zuò jiājù.,Anh ấy chế tạo đồ nội thất tại nhà máy.,做 + 得 + 很/非常 + Tính từ,做饭【做飯】TỐ PHẠN; 做客TỐ KHÁCH; 做梦【做夢】TỐ MỘNG; 做法TỐ PHÁP; 休HƯU,NHÂN 人Số nét: 11,11,ノ丨一丨丨フ一ノ一ノ丶,
坐,把臀部放在椅子;凳子或其他物體上;支持身體重量,zuò,ㄗㄨㄛˋ,toạ,,"ngồi; ngồi; đi; đáp (phương tiện giao thông); quay lưng; quay lưng về (hướng nào đó); đặt; để (xoong, nồi, ấm lên bếp); giật; lún; giật hậu; ra quả; kết quả; có quả; bị tội; định tội; kết tội; buộc tội; bị; mắc (bệnh tật); nắm giữ; quản lý; chủ trì; chịu trách nhiệm; vì; bởi vì; chỗ ngồi; ghế ngồi; họ Tọa; tự dưng; vô cớ; vô duyên vô cớ; chắc; mẩy; mọng nước",把臀部放在椅子; 凳子或其他物体上; 支持身体重量【把臀部放在椅子;凳子或其他物體上;支持身體重量】,咱们坐下来谈。【咱們坐下來談。】,zánmen zuòxià láitán。,Chúng ta ngồi xuống nói chuyện.,,乘坐THỪA TOẠ; 坐椅TOẠ Ỷ; 请坐【請坐】THỈNH TOẠ; 坐车【坐車】TOẠ XA; 站TRẠM,THỔ 土Số nét: 7,7,ノ丶ノ丶一丨一,
左,麵嚮南時靠東的一邊;與右相對,zuǒ,ㄗㄨㄛˇ,tả,,"trái; tả; bên trái; phía Đông; đề cập đến địa vị thấp hơn (thời cổ đại thường lấy bên phải làm trên, bên trái làm dưới); họ Tả; sai; không đúng; tiến bộ; cách mạng; ngược; tương phản; trái ngược; kỳ lạ; kỳ quặc; không bình thường; giúp; phò tá; giúp đỡ","面向南时靠东的一边; 与""右""相对【麵嚮南時靠東的一邊;與右相對】",公园左边是我们的学校。【公園左邊是我們的學校。】,gōngyuán zuǒbiān shì wǒmen de xuéxiào.,Bên trái công viên là trường học của chúng tôi.,,左右TẢ HỮU; 左边【左邊】TẢ BIÊN; 左转【左轉】TẢ CHUYỂN; 左手TẢ THỦ; 右HỮU,CÔNG 工Số nét: 5,5,一ノ一丨一,
左边,左邊,zuǒbiān,ㄗㄨㄛˇㄅㄧㄢ,tả biên,,bên trái,(左边儿) 靠左的一边【(左邊兒)靠左的一邊】,我站在他左边。【我站在他左邊。】,wǒ zhàn zài tā zuǒbiān.,Tôi đứng ở bên trái anh ấy.,Chủ ngữ + 在 + 左边,左边锋【左邊鋒】TẢ BIÊN PHONG; 左边后卫【左邊後衛】TẢ BIÊN HẬU VỆ; 右边【右邊】HỮU BIÊN; 左面【左麵】TẢ DIỆN.MIẾN; 左侧【左側】TẢ TRẮC,CÔNG 工Số nét: 5,5,一ノ一丨一,
昨天,昨天我去了朋友傢玩。,zuótiān,ㄗㄨㄛˊㄊㄧㄢ,tạc thiên,,hôm qua; bữa qua; đã qua; trước kia; trước đây,今天的前一天,昨天我去了朋友家玩。【昨天我去了朋友傢玩。】,zuótiān wǒ qùle péngyou jiā wán.,Hôm qua tôi đã đến nhà bạn chơi.,,今天KIM THIÊN; 明天MINH THIÊN; 昨晚TẠC VÃN; 昨日TẠC NHẬT; 昨儿【昨兒】TẠC NHI,NHẬT 日Số nét: 9,9,丨フ一一ノ一丨一一,
坐下,錶示從站立的狀態變為坐著,zuòxià,ㄗㄨㄛˋㄒㄧㄚˋ,toạ hạ,,ngồi xuống,表示从站立的状态变为坐着【錶示從站立的狀態變為坐著】,请坐下!【請坐下】,qǐng zuòxià!,Hãy ngồi xuống!,,站住TRẠM TRÚ; 站立TRẠM LẬP; 起立KHỞI LẬP; 就坐TỰU TOẠ; 落座LẠC TỌA,THỔ 土Số nét: 7,7,ノ丶ノ丶一丨一,
啊,用在句末錶示贊嘆,a,ㄚ˙,a,,"quá (dùng ở cuối câu, tỏ ý ca ngợi); nhỉ; nhá; nhé; đấy; đi thôi (dùng cuối câu, tỏ ý khẳng định, thúc giục, dặn dò); hả; vậy; chứ (dùng ở cuối câu, tỏ ý nghi vấn); đấy; ư; đó (dùng giữa câu, dừng một chút để người nghe chú ý đến lời nói tiếp theo); này; nào; a (dùng sau những vật được liệt kê); nha; nhá; ư (thể hiện sự thiếu kiên nhẫn; hoặc điều hiển nhiên)",用在句末表示赞叹【用在句末錶示贊嘆】,这朵花真美啊！【這朵花真美啊】,zhè duǒ huā zhēnměi a!,Bông hoa này đẹp quá!,,啊呀A NHA; 天啊THIÊN A; 啊哟【啊喲】A YÊU; 啊唷A DỤC,KHẨU 口Số nét: 10,10,丨フ一フ丨一丨フ一丨,
爱情,愛情,àiqíng,ㄞˋㄑㄧㄥˊ,ái tình,,ái tình; tình yêu,男女相爱的感情【男女相愛的感情】,我希望有一个幸福的爱情。【我希望有一個倖福的愛情。】,wǒ xīwàng yǒu yīgè xìngfú de àiqīng.,Tôi hi vọng có một tình yêu hạnh phúc.,Động từ + 爱情,爱情片【愛情片】ÁI TÌNH PHIẾN; 爱情鸟【愛情鳥】ÁI TÌNH ĐIỂU; 爱情喜剧【愛情喜劇】ÁI TÌNH HỈ KỊCH; 恋爱【戀愛】LUYẾN ÁI,TRẢO 爪Số nét: 10,10,ノ丶丶ノ丶フ一ノフ丶,
爱人,愛人,àiren,ㄞˋㄖㄣˊ,ái nhân,,vợ; chồng (dùng với nơi trang trọng); người yêu,丈夫或妻子; 多用在正式场合。【丈夫或妻子;多用在正式場閤。】,他非常爱他的爱人。【他非常愛他的愛人。】,tā fēicháng ài tā de àiren.,Anh ấy rất yêu thương vợ.,Ai đó (+ 的) + 爱人,爱人儿【愛人兒】ÁI NHÂN NHI; 爱人如己【愛人如己】ÁI NHÂN NHƯ KỈ; 仇人CỪU NHÂN; 恋人【戀人】LUYẾN NHÂN; 情人TÌNH NHÂN,TRẢO 爪Số nét: 10,10,ノ丶丶ノ丶フ一ノフ丶,
安静,安靜,ānjìng,ㄢㄐㄧㄥˋ,an tĩnh,,yên lặng; yên tĩnh; yên bình; yên lặng; yên tĩnh,没有声音;没有吵闹和喧哗【沒有聲音;沒有吵鬧和喧譁】,病人需要安静。【病人需要安靜。】,bìngrén xūyào ānjìng,Người bệnh cần phải được yên tĩnh,A + 安静 + 地 + Động từ + Tân ngữ,不安静【不安靜】BẤT AN TĨNH; 安安静静【安安靜靜】AN AN TĨNH TĨNH; 吵闹【吵鬧】SẢO NÁO; 喧闹【喧鬧】HUYÊN NÁO; 平静【平靜】BÌNH TĨNH,MIÊN 宀Số nét: 6,6,丶丶フフノ一,
安全,沒有危險;不受威脅;不齣事故,ānquán,ㄢㄑㄩㄢˊ,an toàn,,an toàn,没有危险; 不受威胁; 不出事故【沒有危險;不受威脅;不齣事故】,开车时一定要注意安全。【開車時一定要註意安全。】,kāichē shí yīdìng yào zhùyì ānquán.,"Khi lái xe, nhất định phải chú ý đến an toàn.",,安全帽AN TOÀN MẠO; 安全套AN TOÀN SÁO; 安全带【安全帶】AN TOÀN ĐÁI.ĐỚI; 安全感AN TOÀN CẢM; 危险【危險】NGUY HIỂM,MIÊN 宀Số nét: 6,6,丶丶フフノ一,
白色,一種顏色，白的顏色,báisè,ㄅㄞˊㄙㄜˋ,bạch sắc,,màu trắng; trắng; phản cách mạng,一种颜色，白的颜色【一種顏色，白的顏色】,这辆车是白色的。【這輛車是白色的。】,zhè liàng chē shì báisè de.,Chiếc xe này màu trắng.,白色 + Động từ (显得/代表/表示/...) + Tân ngữ,乳白色NHŨ BẠCH SẮC; 灰白色HÔI BẠCH SẮC; 银白色【銀白色】NGÂN BẠCH SẮC; 白色体【白色體】BẠCH SẮC THỂ; 黑色HẮC SẮC,BẠCH 白Số nét: 5,5,ノ丨フ一一,
办,辦,bàn,ㄅㄢˋ,biện,,"làm; xử lý; lo liệu; mua; mở; mua sắm; bài trí; trừng phạt, nghiêm trị (theo pháp luật); mở; lập; sáng lập; kinh doanh; tổ chức; phòng; văn phòng",做；处理【做；處理】,我该怎么办？【我該怎麼辦】,wǒ gāi zěnme bàn?,Tôi nên làm như nào?,好/难 + 办,办法【辦法】BIỆN PHÁP; 举办【舉辦】CỬ BIỆN; 办理【辦理】BIỆN LÍ; 办公【辦公】BIỆN CÔNG,LỰC 力Số nét: 4,4,フノ丶丶,
办法,辦法,bànfǎ,ㄅㄢˋㄈㄚˇ,biện pháp,,cách; biện pháp; phương pháp; cách làm,处理事情或解决问题的方法【處理事情或解決問題的方法】,我们试过很多办法。【我們試過很多辦法。】,wǒmen shìguò hěnduō bànfǎ.,Chúng tôi đã thử nhiều phương pháp.,Động từ (有/ 想/ 找) + 办法,没办法【沒辦法】MỘT BIỆN PHÁP; 有办法【有辦法】HỮU BIỆN PHÁP; 懒办法【懶辦法】LÃN BIỆN PHÁP; 解决办法【解決辦法】GIẢI QUYẾT BIỆN PHÁP; 困难【睏難】KHỐN NAN,LỰC 力Số nét: 4,4,フノ丶丶,
办公室,辦公室,bàngōngshì,ㄅㄢˋㄍㄨㄥㄕˋ,biện công thất,,"văn phòng; phòng làm việc; phòng hành chính (bộ phận hành chính trong cơ quan, trường học, doanh nghiệp)",办公的屋子【辦公的屋子】,他在办公室工作。【他在辦公室工作。】,tā zài bàngōngshì gōngzuò.,Anh ấy làm việc trong văn phòng.,Bổ ngữ (Ai đó、大、小、宽敞、明亮、私人）（+ 的）+ 办公室,坐办公室【坐辦公室】TOẠ BIỆN CÔNG THẤT; 写字间【寫字間】TẢ TỰ GIAN,LỰC 力Số nét: 4,4,フノ丶丶,
半夜,夜裡/裏十二點鍾前後，也氾指深夜,bànyè,ㄅㄢˋㄧㄝˋ,bán dạ,,nửa đêm; giữa đêm; khuya khoắt; đêm khuya; đêm hôm; giữa đêm giữa hôm,一夜的一半,我半夜醒了。,wǒ bànyè xǐngle.,Tôi tỉnh dậy vào nửa đêm.,,大半夜ĐẠI BÁN DẠ; 后半夜【後半夜】HẬU BÁN DẠ; 下半夜HẠ BÁN DẠ; 上半夜THƯỢNG BÁN DẠ; 黎明LÊ MINH,THẬP 十Số nét: 5,5,丶ノ一一丨,
班长,班長,bānzhǎng,ㄅㄢㄓㄤˇ,ban trưởng,,lớp trưởng,学校班级中的负责学生【學校班級中的負責學生】,我们班的班长很帅。【我們班的班長很帥。】,wǒmen bān de bānzhǎng hěn shuài.,Lớp trưởng lớp tôi rất đẹp trai.,,,NGỌC 玉Số nét: 10,10,一一丨一丶ノ一一丨一,
帮助,幫助,bāngzhù,ㄅㄤㄓㄨˋ,bang trợ,,giúp; cứu giúp; viện trợ; giúp đỡ; sự giúp đỡ; sự trợ giúp,在别人有困难的时候，提供钱等物质支持，或者提供精神支持，或者为人出注意、想办法，做事情等。【在別人有睏難的時候，提供錢等物質支持，或者提供精神支持，或者為人齣註意、想辦法，做事情等。】,我们一直相互帮助。【我們一直相互幫助。】,wǒmen yīzhí xiānghù bāngzhù.,Chúng tôi luôn luôn giúp đỡ lẫn nhau.,帮助 + Tân ngữ (家人、同学、老人、弱势群体) (+ Động từ),有帮助【有幫助】HỮU BANG TRỢ; 耐心帮助【耐心幫助】NẠI TÂM BANG TRỢ; 帮助他人【幫助他人】BANG TRỢ THA NHÂN; 欺负【欺負】KHI PHỤ; 妨碍【妨礙】PHƯƠNG NGẠI,CÂN 巾Số nét: 9,9,一一一ノフ丨丨フ丨,
饱,飽,bǎo,ㄅㄠˇ,bão,,no; ngang dạ; ngang bụng; no nê; mẩy; chắc; chắc nịch; đã; mãn; thoả mãn; thoả thuê; đầy đủ; sung túc; phong phú; dồi dào,满足了食量【滿足了食量】,他经常饥一顿，饱一顿。【他經常飢一頓，飽一頓。】,"tā jīngcháng jī yī dùn, bǎo yī dùn.",Cậu ấy thường bữa no bữa đói.,Động từ (吃/喝/喂) + 饱,饱满【飽滿】BÃO MÃN; 饱和【飽和】BÃO HOÀ; 饱受【飽受】BÃO THỤ; 吃饱【吃/喫飽】CẬT.NGẬT BÃO; 饿【餓】NGẠ,THỰC 食Số nét: 8,8,ノフフノフフ一フ,
报名,報名,bàomíng,ㄅㄠˋㄇㄧㄥˊ,báo danh,,đăng ký; ghi tên; đăng ký tham gia,把自己的名字报告给主管的人或机关、团体等，表示愿意参加某种活动或组织【把自己的名字報告給主管的人或機關、團體等，錶示願意參加某種活動或組織】,他着急去报名参军。【他著急去報名參軍。】,tā zháojí qù bàomíng cānjūn.,Anh ấy nóng lòng muốn đăng ký vào quân đội.,报名 + Động từ (上、参加、参赛、加入),报名表【報名錶】BÁO DANH BIỂU; 报名费【報名費】BÁO DANH PHÍ; 报名者【報名者】BÁO DANH GIẢ; 报名处【報名處】BÁO DANH XỨ; 注销【註銷】CHÚ TIÊU,THỦ 手Số nét: 7,7,一丨一フ丨フ丶,
报纸,報紙,bàozhǐ,ㄅㄠˋㄓˇ,báo chỉ,,báo; báo giấy; giấy báo,"上面印有各种新闻的出版物。形式通常为几页较大的纸。一般是定期出版，比如“日报”一天出版一次，“周报”一周出版一次。以新闻为主要内容的定期出版物, 一般指日报【上麵印有各種新聞的齣版物。形式通常為幾頁較大的紙。一般是定期齣版，比如日報一天齣版一次，週報一週齣版一次。以新聞為主要內容的定期齣版物,一般指日報】",他送报纸很准时。【他送報紙很準時。】,tā sòng bàozhǐ hěn zhǔnshí.,Anh ấy giao báo đúng giờ.,Động từ (订、买、卖、看)+ 报纸,送报纸【送報紙】TỐNG BÁO CHỈ; 白报纸【白報紙】BẠCH BÁO CHỈ; 报纸报导【報紙報導】BÁO CHỈ BÁO ĐẠO; 投递报纸【投遞報紙】ĐẦU ĐỆ BÁO CHỈ; 媒体【媒體】MÔI THỂ,THỦ 手Số nét: 7,7,一丨一フ丨フ丶,
背,人)用脊背馱,bēi,ㄅㄟˋ,bối | bội,,cõng; vác; khiêng; gánh; đeo; địu; khoác; gánh vác; đảm nhiệm; bó; gùi; vác,(人) 用脊背驮【人)用脊背馱】,他背小孩走过山坡。【他背小孩走過山坡。】,tā bēi xiǎohái zǒuguò shānpō.,Anh ấy cõng đứa bé đi qua sườn núi.,把 + Tân ngữ + 背 + 到/ 在 + 背（bèi) + 上,背包BỐI.BỘI BAO; 背着【背著】BỐI.BỘI TRƯỚC; 背锅【背鍋】BỐI.BỘI OA; 背子BỐI.BỘI TỬ; 向【嚮】HƯỚNG,NHỤC 肉Số nét: 9,9,丨一一ノフ丨フ一一,
北方,我來自北方的一個小鎮。,běifāng,ㄅㄟˇㄈㄤ,bắc phương,,"phương bắc; miền bắc; phía bắc; khu vực bắc bộ; khu vực phía bắc (chỉ khu vực lưu vực sông Hoàng Hà, Trung Quốc)",北,我来自北方的一个小镇。【我來自北方的一個小鎮。】,wǒ láizì běifāng de yīgè xiǎo zhèn.,Tôi đến từ một thị trấn nhỏ ở miền bắc.,,北方人BẮC PHƯƠNG NHÂN; 北方话【北方話】BẮC PHƯƠNG THOẠI; 北方佬BẮC PHƯƠNG LÃO; 西北方TÂY BẮC PHƯƠNG; 南方NAM PHƯƠNG,TỶ 匕Số nét: 5,5,丨一一ノフ,
笔,筆,bǐ,ㄅㄧˇ,bút,,bút; cây bút; cái bút; cách viết; cách vẽ; bút pháp; nét; nét chữ (trong chữ Hán); viết; soạn; khoản; món; vụ; số; nét; nét bút,用来书写或绘画的工具【用來書寫或繪畫的工具】,我很喜欢这支毛笔。【我很喜歡這支毛筆。】,wǒ hěn xǐhuān zhè zhī máobǐ.,Tôi rất thích chiếc bút lông này.,用.....笔 + Động từ,铅笔【鉛筆】DIÊN BÚT; 笔记【筆記】BÚT KÝ; 毛笔【毛筆】MAO BÚT; 钢笔【鋼筆】CƯƠNG BÚT,TRÚC 竹Số nét: 10,10,ノ一丶ノ一丶ノ一一フ,
比如,錶示下麵是舉例。口語中也可説比如説,bǐrú,ㄅㄧˇㄖㄨˊ,tỉ như,,ví dụ như; thí dụ như; chẳng hạn như,"表示下面是举例。口语中也可说 ""比如说""【錶示下麵是舉例。口語中也可説比如説】",我喜欢运动，比如跑步。【我喜歡運動，比如跑步。】,"wǒ xǐhuan yùndòng, bǐrú pǎobù.","Tôi thích thể thao, như chạy bộ.",,比如说【比如説】TỈ NHƯ THUYẾT; 比如县【比如縣】TỈ NHƯ HUYỆN; 比方TỈ PHƯƠNG; 例如LỆ NHƯ; 譬如THÍ NHƯ,TỶ 比Số nét: 4,4,一フノフ,
比如说,比如説,bǐrú shuō,ㄅㄧˇㄖㄨˊㄕㄨㄛ,tỉ như thuyết,,ví dụ; ví dụ như; ví dụ ta nói,举例说明某个情况或问题。【舉例説明某個情況或問題。】,我喜欢水果，比如说苹果。【我喜歡水果，比如説蘋果。】,"wǒ xǐhuān shuǐguǒ, bǐrú shuō píngguǒ.","Tôi thích trái cây, ví dụ như táo.",,,TỶ 比Số nét: 4,4,一フノフ,
笔记,筆記,bǐjì,ㄅㄧˇㄐㄧˋ,bút ký,,"ghi chép, ghi chú; bài ghi chép; bút ký; bút ký; nhật ký",用笔记录【用筆記彔】,他认真笔记老师的讲解。【他認真筆記老師的講解。】,tā rènzhēn bǐjì lǎoshī de jiǎngjiě.,Anh ấy nghiêm túc ghi chép giải thích của giáo viên.,Định ngữ + (的) + 笔记,笔记本【筆記本】BÚT KÝ BẢN; 作笔记【作筆記】TÁC BÚT KÝ; 死亡笔记【死亡筆記】TỬ VONG BÚT KÝ; 记录【記彔】KÝ LỤC; 笔录【筆彔】BÚT LỤC,TRÚC 竹Số nét: 10,10,ノ一丶ノ一丶ノ一一フ,
笔记本,筆記本,bǐjìběn,ㄅㄧˇㄐㄧˋㄅㄣˇ,bút ký bản,,sổ ghi chép; laptop; máy tính xách tay,用于记录笔记的本【用於記彔筆記的本】,这是我新买的笔记本。【這是我新買的筆記本。】,zhè shì wǒ xīn mǎi de bǐjìběn.,Đây là cuốn sổ tôi mới mua.,,笔记簿【筆記簿】BÚT KÝ BỘ; 记录簿【記彔簿】KÝ LỤC BỘ,TRÚC 竹Số nét: 10,10,ノ一丶ノ一丶ノ一一フ,
必须,必須,bìxū,ㄅㄧˋㄒㄩ,tất tu,,phải; nhất định phải; nhất thiết phải; nhất định phải (ngữ khí ra lệnh),"表示事理上和情理上的必要;一定要, 口语和书面语都用【錶示事理上和情理上的必要;一定要,口語和書麵語都用】",这件事你必须解释清楚。【這件事你必須解釋清楚。】,zhè jiàn shì nǐ bìxū jiěshì qīngchu.,Chuyện này bạn phải giải thích rõ ràng.,,得ĐẮC; 不得不BẤT ĐẮC BẤT; 必要TẤT YẾU; 务必【務必】VỤ TẤT,TÂM 心Số nét: 5,5,丶フ丶ノ丶,
变,變,biàn,ㄅㄧㄢˋ,biến,,trở nên; đổi khác; thay đổi; biến hoá; đổi; biến; trở thành; biến thành; làm thay đổi; bán; bán lấy tiền; biến cố; rối loạn; biến; đã thay đổi; có thể biến hoá,性质、状态或情况跟原来有了不同【性質、狀態或情況跟原來有了不衕】,天气变得越来越冷。【天氣變得越來越冷。】,tiānqì biàn de yuèláiyuè lěng.,Thời tiết trở nên ngày càng lạnh.,,变化【變化】BIẾN HÓA; 改变【改變】CẢI BIẾN; 变成【變成】BIẾN THÀNH; 变迁【變遷】BIẾN THIÊN,HỰU 又Số nét: 8,8,丶一丨丨ノ丶フ丶,
